"","Rank","Bib","Name","Nation","Pts","Time","Gender","Date","WMTRC","Race","img"
"1","1",2246,"Stian Hovind ANGERMUND","NOR",190,"4:19:00","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/no_black.png"
"2","2",2142,"Thomas ROACH","GBR",189,"4:21:18","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/gb_black.png"
"3","3",2187,"Luca DEL PERO","ITA",188,"4:22:04","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/it_black.png"
"4","4",2126,"Thibaut BARONIAN","FRA",187,"4:25:41","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/fr_black.png"
"5","5",2138,"Jonathan ALBON","GBR",186,"4:26:57","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/gb_black.png"
"6","6",2192,"Francesco PUPPI","ITA",185,"4:28:16","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/it_black.png"
"7","7",2270,"Andrzej WITEK","POL",184,"4:29:21","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/pl_black.png"
"8","8",2141,"Kristian JONES","GBR",183,"4:30:37","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/gb_black.png"
"9","9",2131,"Frédéric TRANCHAND","FRA",182,"4:31:07","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/fr_black.png"
"10","10",2148,"Benedikt HOFFMANN","GER",181,"4:32:28","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/de_black.png"
"11","11",2309,"Stephan WENK","SUI",180,"4:34:08","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/ch_black.png"
"12","12",2202,"Ruy UEDA","JPN",179,"4:34:45","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/jp_black.png"
"13","13",2323,"Petter ENGDAHL","SWE",178,"4:35:21","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/se_black.png"
"14","14",2347,"Garrett CORCORAN","USA",177,"4:35:34","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/us_black.png"
"15","15",2190,"Cristian MINOGGIO","ITA",176,"4:36:12","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/it_black.png"
"16","16",2128,"Thomas CARDIN","FRA",175,"4:37:50","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/fr_black.png"
"17","17",2004,"Eliseo Joaquin NARVAEZ","ARG",174,"4:39:05","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/ar_black.png"
"18","18",2286,"Leonard Albert MITRICA","ROU",173,"4:41:24","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/ro_black.png"
"19","19",2349,"Max KING","USA",172,"4:41:50","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/us_black.png"
"20","20",2248,"Anders Johnny KJÆREVIK","NOR",171,"4:42:03","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/no_black.png"
"21","21",2130,"Loïc ROBERT","FRA",170,"4:42:18","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/fr_black.png"
"22","22",2191,"Daniel PATTIS","ITA",169,"4:42:47","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/it_black.png"
"23","23",2268,"Rafał MATUSZCZAK","POL",168,"4:43:38","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/pl_black.png"
"24","24",2269,"Michał RAJCA","POL",167,"4:44:26","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/pl_black.png"
"25","25",2105,"Zaid AIT MALEK","ESP",166,"4:44:40","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/es_black.png"
"26","26",2108,"Mario OLMEDO","ESP",165,"4:44:44","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/es_black.png"
"27","27",2146,"Marc DÜRR","GER",164,"4:44:47","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/de_black.png"
"28","28",2121,"Juho YLINEN","FIN",163,"4:45:33","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/fi_black.png"
"29","29",2027,"Dominik MATT","AUT",162,"4:46:08","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/at_black.png"
"30","30",2346,"Jackson BRILL","USA",161,"4:46:26","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/us_black.png"
"31","31",2267,"Krzysztof BODURKA","POL",160,"4:46:58","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/pl_black.png"
"32","32",2025,"Hans-Peter INNERHOFER","AUT",159,"4:49:28","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/at_black.png"
"33","33",2084,"Tomas HUDEC","CZE",158,"4:50:08","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/cz_black.png"
"34","34",2305,"Tobias BAGGENSTOS","SUI",157,"4:50:36","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/ch_black.png"
"35","35",2285,"Bogdan DAMIAN","ROU",156,"4:52:00","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/ro_black.png"
"36","36",2106,"Jonatan AROBES","ESP",155,"4:52:04","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/es_black.png"
"37","37",2348,"Craig HUNT","USA",154,"4:53:02","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/us_black.png"
"38","38",2276,"Bruno SILVA","POR",153,"4:53:10","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/pt_black.png"
"39","39",2117,"Tuomas KARI","FIN",152,"4:53:28","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/fi_black.png"
"40","40",2149,"Thomas WANNINGER","GER",151,"4:54:08","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/de_black.png"
"41","41",2237,"Moises MARTÍNEZ","MEX",150,"4:54:28","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/mx_black.png"
"42","42",2129,"Julien RANCON","FRA",149,"4:54:37","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/fr_black.png"
"43","43",2322,"Oscar CLAESSON","SWE",148,"4:54:37","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/se_black.png"
"44","44",2147,"Marcel HÖCHE","GER",147,"4:54:45","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/de_black.png"
"45","45",2028,"Andreas RIEDER","AUT",146,"4:55:09","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/at_black.png"
"46","46",2116,"Mårten BOSTRÖM","FIN",145,"4:55:31","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/fi_black.png"
"47","47",2049,"Chris BALESTRINI","CAN",144,"4:56:13","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/ca_black.png"
"48","48",2247,"Jonas HESTHAUG","NOR",143,"4:56:33","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/no_black.png"
"49","49",2307,"François LEBOEUF","SUI",142,"4:57:37","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/ch_black.png"
"50","50",2193,"Andrea ROTA","ITA",141,"4:59:27","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/it_black.png"
"51","51",2109,"Dimas PEREIRA","ESP",140,"5:01:38","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/es_black.png"
"52","52",2306,"Ruedi BECKER","SUI",139,"5:01:51","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/ch_black.png"
"53","53",2324,"Linus HULTEGÅRD","SWE",138,"5:02:55","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/se_black.png"
"54","54",2054,"Marcus RIBI","CAN",137,"5:03:12","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/ca_black.png"
"55","55",2275,"Dário MOITOSO","POR",136,"5:04:41","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/pt_black.png"
"56","56",2287,"Valentin TOMA","ROU",135,"5:04:54","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/ro_black.png"
"57","57",2042,"Rogério SILVESTRIM","BRA",134,"5:05:42","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/br_black.png"
"58","58",2345,"Jon AZIZ","USA",133,"5:05:42","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/us_black.png"
"59","59",2016,"Vladislav IXEL","AUS",132,"5:06:26","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/au_black.png"
"60","60",2277,"Tiago VIEIRA","POR",131,"5:07:32","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/pt_black.png"
"61","61",2061,"Juan Pablo LLANOS","CHI",130,"5:10:01","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/cl_black.png"
"62","62",2064,"Luis VALLE","CHI",129,"5:11:30","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/cl_black.png"
"63","63",2156,"Athanasios PAGOUNADIS","GRE",128,"5:11:46","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/gr_black.png"
"64","64",2007,"Diego Ramón SIMON","ARG",127,"5:12:24","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/ar_black.png"
"65","65",2052,"Samuël POHER","CAN",126,"5:13:49","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/ca_black.png"
"66","66",2005,"Ezequiel Alexis PAULUZAK","ARG",125,"5:14:14","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/ar_black.png"
"67","67",2299,"Marko TRATNIK","SLO",124,"5:14:25","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/si_black.png"
"68","68",2173,"Adam CUNNINGHAM","IRL",123,"5:14:34","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/ie_black.png"
"69","69",2274,"Paulo MESQUITA","POR",122,"5:14:51","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/pt_black.png"
"70","70",2063,"Nicolás PALACIOS","CHI",121,"5:15:54","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/cl_black.png"
"71","71",2244,"Huub VAN NOORDEN","NED",120,"5:16:14","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/nl_black.png"
"72","72",2293,"Kane REILLY","RSA",119,"5:17:19","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/za_black.png"
"73","73",2179,"Thorsteinn Roy JÓHANNSSON","ISL",118,"5:18:26","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/is_black.png"
"74","74",2089,"Christian Grøn NØRFELT","DEN",117,"5:18:34","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/dk_black.png"
"75","75",2014,"Matthew CREHAN","AUS",116,"5:18:58","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/au_black.png"
"76","76",2294,"Johan VAN HEERDEN","RSA",115,"5:19:29","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/za_black.png"
"77","77",2118,"Antti PARJANNE","FIN",114,"5:19:40","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/fi_black.png"
"78","78",2097,"Alexander Marcelo OLIVO MERINO","ECU",113,"5:20:13","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/ec_black.png"
"79","79",2003,"Gastón Nicolás CAMBARERI","ARG",112,"5:20:29","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/ar_black.png"
"80","80",2316,"Miroslav HRAŠKO","SVK",111,"5:20:43","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/sk_black.png"
"81","81",2308,"Christian LEU","SUI",110,"5:21:15","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/ch_black.png"
"82","82",2272,"António ALMEIDA","POR",109,"5:22:08","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/pt_black.png"
"83","83",2357,"Nayib Daabal CHMEIT","VEN",108,"5:22:22","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/ve_black.png"
"84","84",2087,"Frederik Hagen ERNST","DEN",107,"5:23:00","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/dk_black.png"
"85","85",2161,"Máté Dávid VÁSÁRHELYI","HUN",106,"5:24:06","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/hu_black.png"
"86","86",2175,"Barry MCEVOY","IRL",105,"5:25:30","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/ie_black.png"
"87","87",2304,"Martin ANTHAMATTEN","SUI",104,"5:26:47","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/ch_black.png"
"88","88",2015,"Fraser DARCY","AUS",103,"5:27:06","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/au_black.png"
"89","89",2006,"Hugo César RODRIGUEZ","ARG",102,"5:29:28","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/ar_black.png"
"90","90",2292,"Jacques DU PLESSIS","RSA",101,"5:29:43","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/za_black.png"
"91","91",2180,"Jörundur Frímann JÓNASSON","ISL",100,"5:30:41","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/is_black.png"
"92","92",2172,"Enda CLOAKE","IRL",99,"5:32:17","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/ie_black.png"
"93","93",2273,"Roberto BAIÃO","POR",98,"5:32:58","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/pt_black.png"
"94","94",2181,"Halldór Hermann JÓNSSON","ISL",97,"5:33:05","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/is_black.png"
"95","95",2284,"Alexandru Marinel BLEJDEA","ROU",96,"5:34:30","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/ro_black.png"
"96","96",2317,"Pavol OROLÍN","SVK",95,"5:34:40","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/sk_black.png"
"97","97",2026,"Gerhard KAUFMANN","AUT",94,"5:35:25","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/at_black.png"
"98","98",2073,"Andrej HLADNIK","CRO",93,"5:35:59","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/hr_black.png"
"99","99",2261,"Randolf GONZALES","PHI",92,"5:39:54","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/ph_black.png"
"100","100",2298,"Nejc BLATNIK","SLO",91,"5:40:01","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/si_black.png"
"101","101",2075,"Josip MEŠTRIĆ","CRO",90,"5:40:51","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/hr_black.png"
"102","102",2107,"Jan MARGARIT","ESP",89,"5:41:15","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/es_black.png"
"103","103",2096,"Alex Xavier LOZANO ESPINOSA","ECU",88,"5:42:26","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/ec_black.png"
"104","104",2213,"Kārlis EIDUKS","LAT",87,"5:43:13","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/lv_black.png"
"105","105",2220,"Darius BAJARUNAS","LTU",86,"5:43:30","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/lt_black.png"
"106","106",2300,"Aleš ŽONTAR","SLO",85,"5:43:46","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/si_black.png"
"107","107",2050,"Nick ELSON","CAN",84,"5:44:56","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/ca_black.png"
"108","108",2358,"Samuel David DAVILA","VEN",83,"5:45:07","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/ve_black.png"
"109","109",2060,"Matías BARROS","CHI",82,"5:45:28","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/cl_black.png"
"110","110",2253,"Dwight GRIEVE","NZL",81,"5:46:48","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/nz_black.png"
"111","111",2076,"Nikola ŠPOLJAR","CRO",80,"5:47:37","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/hr_black.png"
"112","112",2241,"Ryan FARRUGIA","MLT",79,"5:47:57","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/mt_black.png"
"113","113",2232,"Wilsen SINGGIN","MAS",78,"5:52:35","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/my_black.png"
"114","114",2222,"Domantas KAVALIAUSKAS","LTU",77,"5:52:42","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/lt_black.png"
"115","115",2262,"Godwin MIRAR","PHI",76,"5:53:11","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/ph_black.png"
"116","116",2090,"Anders POUL","DEN",75,"5:54:22","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/dk_black.png"
"117","117",2207,"Suyong KIM","KOR",74,"5:54:58","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/kr_black.png"
"118","118",2017,"David LONGO","AUS",73,"5:55:55","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/au_black.png"
"119","119",2335,"Ievgen DZHADAN","UKR",72,"5:56:36","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/ua_black.png"
"120","120",2159,"Máté DALOS","HUN",71,"5:57:28","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/hu_black.png"
"121","121",2077,"Josip TOLJAN","CRO",70,"6:00:53","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/hr_black.png"
"122","122",2157,"Emmanouil POURIKAS","GRE",69,"6:02:27","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/gr_black.png"
"123","123",2359,"Karl MIDLANE","ZAM",68,"6:04:06","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/zm_black.png"
"124","124",2201,"Koji MORIMOTO","JPN",67,"6:05:14","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/jp_black.png"
"125","125",2214,"Jānis KŪMS","LAT",66,"6:06:00","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/lv_black.png"
"126","126",2318,"Matej SCHIEBER","SVK",65,"6:07:40","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/sk_black.png"
"127","127",2120,"Juha SORVISTO","FIN",64,"6:08:24","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/fi_black.png"
"128","128",2225,"Justinas VAIZMUZYS","LTU",63,"6:10:30","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/lt_black.png"
"129","129",2258,"Cristian Ariel ARANDA","PAR",62,"6:12:53","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/py_black.png"
"130","130",2263,"Jayson ZONIO","PHI",61,"6:13:19","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/ph_black.png"
"131","131",2098,"Rodrigo Andres POZO ROSAS","ECU",60,"6:14:33","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/ec_black.png"
"132","132",2053,"Joshua POTVIN","CAN",59,"6:14:43","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/ca_black.png"
"133","133",2044,"Dimitri THIOUNN","CAM",58,"6:17:42","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/kh_black.png"
"134","134",2206,"Doyun KIM","KOR",57,"6:28:54","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/kr_black.png"
"135","135",2074,"Eldin HODZIC","CRO",56,"6:30:35","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/hr_black.png"
"136","136",2221,"Marius DIJOKAS","LTU",55,"6:32:07","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/lt_black.png"
"137","137",2216,"Raivis REINFELDS","LAT",54,"6:32:10","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/lv_black.png"
"138","138",2223,"Vaidas RAMANAUSKAS","LTU",53,"6:33:20","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/lt_black.png"
"139","139",2170,"Sampathkumar SUBRAMANIAN","IND",52,"6:35:49","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/in_black.png"
"140","140",2169,"Sannat SACHDEV","IND",51,"6:36:49","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/in_black.png"
"141","141",2233,"Safrey SUMPING","MAS",50,"6:40:06","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/my_black.png"
"142","142",2029,"Bruno SCHUMI","AUT",49,"6:42:20","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/at_black.png"
"143","143",2215,"Sergejs ĻETA","LAT",48,"6:45:08","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/lv_black.png"
"144","144",2037,"Nandino MALEŠEVIĆ","BIH",47,"6:45:20","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/ba_black.png"
"145","145",2205,"Hyung Min HWANG","KOR",46,"6:46:03","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/kr_black.png"
"146","146",2302,"Lorenzo RIGHI","SMR",45,"6:50:33","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/sm_black.png"
"147","147",2166,"Ade PUTRA KATUME","INA",44,"6:50:46","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/id_black.png"
"148","148",2062,"Francisco MOREIRA","CHI",43,"7:03:54","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/cl_black.png"
"149","149",2231,"Mohamad Affindi BIN NUDIN","MAS",42,"7:05:11","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/my_black.png"
"150","150",2045,"Eddy KHAOU","CAM",41,"7:05:18","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/kh_black.png"
"151","151",2160,"Attila PELSŐCZY","HUN",40,"7:08:23","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/hu_black.png"
"152","152",2331,"Yu-Jian JIANG","TPE",39,"7:12:57","Male",2023-06-08,"Innsbruck","Trail Short","https://my.raceresult.com/RRPublish/picture.php?eventid=237839&name=TPE2.png"
"153","153",2208,"Kyuhwan LEE","KOR",38,"7:22:30","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/kr_black.png"
"154","race stopped",2034,"Elmir ASKAROV","AZE",NA,"race stopped","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/az_black.png"
"155","race stopped",2047,"Jean Jacques MOK","CAM",NA,"race stopped","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/kh_black.png"
"156","race stopped",2224,"Danielius STASIULIS","LTU",NA,"race stopped","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/lt_black.png"
"157","race stopped",2259,"Oliver Horst KROLL","PAR",NA,"race stopped","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/py_black.png"
"158","race stopped",2329,"Shih-Jin CHIEN","TPE",NA,"race stopped","Male",2023-06-08,"Innsbruck","Trail Short","https://my.raceresult.com/RRPublish/picture.php?eventid=237839&name=TPE2.png"
"159","race stopped",2330,"Chih-Min CHUANG","TPE",NA,"race stopped","Male",2023-06-08,"Innsbruck","Trail Short","https://my.raceresult.com/RRPublish/picture.php?eventid=237839&name=TPE2.png"
"160","race stopped",2336,"Kostyantyn ZHELEZOV","UKR",NA,"race stopped","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/ua_black.png"
"161","DNF",2024,"Sebastian FALKENSTEINER","AUT",NA,"DNF","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/at_black.png"
"162","DNF",2035,"Maximilien DRION DU CHAPOIS","BEL",NA,"DNF","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/be_black.png"
"163","DNF",2048,"Jean Luc PUONG","CAM",NA,"DNF","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/kh_black.png"
"164","DNF",2051,"Jessie MCAULEY","CAN",NA,"DNF","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/ca_black.png"
"165","DNF",2086,"Max BODERSKOV","DEN",NA,"DNF","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/dk_black.png"
